,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.6511,0.6508,0.6421,0.6533,0.7286,0.7915,0.6924,0.6661,0.7282,0.6685,0.6501,0.7394,0.6517,0.652,0.67,0.655,0.6519
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5329,0.5328,0.4929,0.5352,0.5523,0.5784,0.5557,0.5389,0.5434,0.5387,0.5327,0.5442,0.5323,0.5327,0.5324,0.5354,0.6141
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.642,0.6414,0.5151,0.6486,0.6708,0.6887,0.6636,0.6616,0.6756,0.657,0.6347,0.6635,0.6407,0.6437,0.6748,0.6464,0.681
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6554,0.6566,0.6152,0.6594,0.6739,0.7051,0.6785,0.6596,0.6686,0.666,0.6579,0.6675,0.6548,0.6553,0.6551,0.6581,0.7058
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.8089,0.8103,0.7741,0.8126,0.8276,0.846,0.8266,0.8192,0.8256,0.8211,0.8112,0.8245,0.8103,0.8107,0.8145,0.811,0.81
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.2249,0.2236,0.1911,0.2266,0.2348,0.2569,0.2385,0.2394,0.2446,0.229,0.2245,0.2308,0.2234,0.2243,0.2367,0.2321,0.3367
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.7417,0.7438,0.7147,0.7405,0.7605,0.7978,0.7643,0.7501,0.7617,0.7614,0.7394,0.7598,0.7443,0.7444,0.7398,0.7466,0.7343
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.4998,0.4806,0.28,0.5032,0.5217,0.5619,0.573,0.5899,0.5444,0.4906,0.4741,0.5183,0.4947,0.4944,0.5195,0.5024,0.6615
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.8438,0.8491,0.824,0.8469,0.8577,0.8759,0.8541,0.8543,0.8561,0.8577,0.8403,0.8575,0.8483,0.8503,0.8446,0.8518,0.8562
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.3863,0.3831,0.2919,0.3853,0.3967,0.4121,0.4012,0.407,0.4083,0.3879,0.3816,0.3908,0.3845,0.3878,0.4098,0.4007,0.4485
