,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.4734,0.6392,0.3198,0.6392,0.6369,0.6465,0.6522,0.5055,0.6438,0.4569,0.6319,0.6393,0.4384,0.3327,0.647,0.6469,0.4553,0.4748,0.4154,0.6415,0.3732
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.0773,0.0777,0.0632,0.0772,0.0854,0.0859,0.0928,0.1191,0.0779,0.0914,0.0969,0.1539,0.0805,0.082,0.082,0.0801,0.0746,0.0772,0.0735,0.0934,0.0981
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.2026,0.2052,0.1804,0.2067,0.2185,0.215,0.2591,0.2492,0.2134,0.2459,0.2256,0.206,0.2299,0.2223,0.2207,0.2141,0.2061,0.2182,0.2094,0.2405,0.2414
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.1461,0.2372,0.0751,0.2112,0.2462,0.2063,0.2666,0.1787,0.1669,0.1617,0.2025,0.1681,0.1304,0.0988,0.2518,0.2053,0.1448,0.1461,0.1527,0.1821,0.1073
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.2042,0.3166,0.1426,0.2713,0.3325,0.3136,0.3449,0.2987,0.2642,0.3262,0.3062,0.2576,0.2315,0.1595,0.3398,0.2659,0.2201,0.2198,0.2119,0.2364,0.1562
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.0567,0.0488,0.0384,0.0506,0.0555,0.0582,0.0765,0.0683,0.0642,0.0639,0.064,0.0675,0.0531,0.0478,0.0612,0.0482,0.0508,0.0546,0.0524,0.0625,0.0547
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.1247,0.2847,0.1008,0.2201,0.3316,0.2579,0.3374,0.2974,0.138,0.1991,0.3278,0.116,0.1885,0.1152,0.3486,0.1446,0.176,0.1734,0.3487,0.1868,0.1174
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0464,0.0468,0.0348,0.0467,0.0463,0.0492,0.0589,0.0575,0.0475,0.0547,0.0489,0.0539,0.0537,0.047,0.0503,0.0497,0.0467,0.0471,0.0467,0.0525,0.0492
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.4835,0.8059,0.2593,0.7798,0.3318,0.7999,0.7828,0.5174,0.796,0.5079,0.699,0.6313,0.7125,0.3046,0.8006,0.7976,0.5188,0.5341,0.4728,0.4889,0.3122
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.1167,0.1156,0.0944,0.1147,0.1208,0.1181,0.1476,0.1446,0.1208,0.1402,0.1338,0.1275,0.128,0.1264,0.1216,0.12,0.1152,0.1211,0.1259,0.1293,0.1448
